momentum_lookback,breadth_threshold_pct,trailing_stop_pct,entry_top,strategy_cagr,strategy_max_drawdown,strategy_sharpe,total_trades,avg_exposure_pct,final_equity
20,60.0,15.0,3,0.5600648617698045,-0.48377373959674613,0.9628688320337748,459,24.314121540085164,168374.91570747524
20,60.0,15.0,5,0.8895528514808417,-0.48104792592609286,1.1598355689390931,691,32.044503810921185,568361.387173946
20,60.0,15.0,10,0.7259678012671049,-0.4682087700257764,1.0638418401995937,925,32.89482612965527,319844.254871556
20,60.0,25.0,3,0.5785898922814041,-0.512412154601256,0.9688194693603566,467,25.792739481052816,181479.2440664221
20,60.0,25.0,5,0.8928101787953879,-0.536503298318024,1.132577733833607,712,34.53383179505625,574610.8136399848
20,60.0,25.0,10,0.7331024021808685,-0.5779831259343993,1.021816433475216,936,36.12086254035034,328331.9487275019
20,60.0,35.0,3,0.5978269238568719,-0.48867582203271953,0.9815904533282388,470,26.224268601222605,195986.31623138255
20,60.0,35.0,5,0.9278111089892558,-0.5349495925312572,1.152109512069933,717,34.86230661812474,645499.6814029325
20,60.0,35.0,10,0.7898839746228288,-0.5911606510301174,1.0465166856477626,944,36.42701008440536,402906.5888520127
20,70.0,15.0,3,0.55715953307464,-0.48377373959674647,0.964598285765222,459,23.88082668689741,166393.94595912166
20,70.0,15.0,5,0.9024360575381938,-0.48104792592609286,1.1758816110644952,691,31.23218387956243,593418.1793509354
20,70.0,15.0,10,0.7355891186044528,-0.4682087700257764,1.0828387764939678,925,31.826900000254454,331334.5149111446
20,70.0,25.0,3,0.5830648951415838,-0.5124121546012558,0.9796886396512889,467,25.234331052569786,184770.45156972812
20,70.0,25.0,5,0.8969977335249986,-0.5365032983180241,1.1437990984509503,712,33.51024817246418,582729.9177810685
20,70.0,25.0,10,0.7408064647301897,-0.5779831259343993,1.036722566586523,936,35.08891294139861,337709.40638142935
20,70.0,35.0,3,0.6023564600519871,-0.48867582203271936,0.9923081247827118,470,25.665860172739574,199540.61599631858
20,70.0,35.0,5,0.9320760979552292,-0.5349495925312572,1.163340033771907,717,33.83872299553267,654620.4271528211
20,70.0,35.0,10,0.8035535632222228,-0.5911606510301174,1.063284221662275,944,35.386139470760995,422846.5243029344
20,80.0,15.0,3,0.5100498107530513,-0.4837737395967458,0.9229459383207004,459,23.587775830362602,136908.11554980787
20,80.0,15.0,5,0.8121011912999618,-0.4810479259260928,1.1183979544729747,691,30.55460012791402,435732.5105274213
20,80.0,15.0,10,0.6458444576453688,-0.46273438095263064,1.011988094874544,925,30.965180046369333,236520.54099827132
20,80.0,25.0,3,0.534992608414554,-0.516567020831801,0.9399415412907252,467,24.80060718414544,151915.8071060873
20,80.0,25.0,5,0.8010074877766584,-0.5427612595647108,1.0830933086699135,712,32.72660396589834,419070.83688341326
20,80.0,25.0,10,0.6487965674082921,-0.5779831259343993,0.9674368229033868,936,34.20295819654906,239227.03418106446
20,80.0,35.0,3,0.5536983542327449,-0.4930329518913604,0.9530927539449708,470,25.23213630431523,164059.6397962855
20,80.0,35.0,5,0.834365218904312,-0.5349495925312572,1.1034191869429009,717,33.05503700803419,470859.5773224841
20,80.0,35.0,10,0.7073230908463108,-0.5911606510301173,0.9959018800248852,944,34.50101542413741,298531.46939919994
30,60.0,15.0,3,0.4368714759693908,-0.3896105331467475,0.8660368977478917,431,22.738007877744582,99875.35960851281
30,60.0,15.0,5,0.7573531763448629,-0.4926271579506442,1.0589200710062583,682,31.239746776478583,358615.2188390287
30,60.0,15.0,10,0.7259678012671047,-0.4682087700257764,1.063841840199593,925,32.89482612965527,319844.25487155584
30,60.0,25.0,3,0.48255770868675496,-0.49824328199919893,0.9010013979954483,440,24.87121541843291,121833.21016325997
30,60.0,25.0,5,0.7784365185541733,-0.5984195947456582,1.0507884845873765,694,33.687371554279004,386823.2707683374
30,60.0,25.0,10,0.7331024021808685,-0.5779831259343994,1.021816433475216,936,36.12086254035034,328331.9487275019
30,60.0,35.0,3,0.49771658385301953,-0.4779765187365005,0.8918866633661806,445,26.100161373665543,129961.91561676019
30,60.0,35.0,5,0.8873790876141276,-0.581384736720395,1.061170588824666,698,34.7523315305861,564222.7977977268
30,60.0,35.0,10,0.7898839746228288,-0.5911606510301173,1.0465166856477632,944,36.42701008440536,402906.5888520128
30,70.0,15.0,3,0.43788588971273734,-0.3896105331467474,0.8726633554721597,431,22.317452413983638,100323.8841149974
30,70.0,15.0,5,0.7570117852990499,-0.4926271579506442,1.066022598560321,682,30.268712966875494,358173.13292727544
30,70.0,15.0,10,0.7355891186044525,-0.4682087700257764,1.0828387764939689,925,31.826900000254447,331334.5149111445
30,70.0,25.0,3,0.4924392784130991,-0.49824328199919915,0.9195559655944304,440,24.374044887837858,127081.74575443078
30,70.0,25.0,5,0.7794113843654602,-0.598419594745658,1.0600105482960689,694,32.635111498620006,388171.5080592874
30,70.0,25.0,10,0.7408064647301897,-0.5779831259343994,1.036722566586523,936,35.08891294139861,337709.40638142923
30,70.0,35.0,3,0.5112425022304949,-0.4779765187365003,0.9106932674321915,445,25.680721692890224,137596.12446271756
30,70.0,35.0,5,0.8968843229096275,-0.5813847367203947,1.0726222577032458,698,33.7744274181776,582508.763529194
30,70.0,35.0,10,0.8035535632222228,-0.5911606510301173,1.0632842216622749,944,35.386139470760995,422846.5243029346
30,80.0,15.0,3,0.39883132295562684,-0.3896105331467475,0.8319805589786663,431,22.101329512711807,84231.64312260109
30,80.0,15.0,5,0.6730043965536479,-0.4926271579506442,1.0063581053216992,682,29.628895660977587,262421.827486285
30,80.0,15.0,10,0.6458444576453686,-0.4627343809526306,1.0119880948745434,925,30.965180046369333,236520.5409982711
30,80.0,25.0,3,0.44721529517126224,-0.4982432819991992,0.8763039370833176,440,24.0088465989462,104529.07964574963
30,80.0,25.0,5,0.6874302242412751,-0.6041111797236084,0.9964001226054734,694,31.842741810161755,277123.92280837346
30,80.0,25.0,10,0.6487965674082925,-0.5779831259343993,0.9674368229033864,936,34.20295819654907,239227.03418106475
30,80.0,35.0,3,0.4654038613627942,-0.47797651873650043,0.868523758309451,445,25.315594317185557,113155.51012780904
30,80.0,35.0,5,0.7988607009303466,-0.587317756142779,1.0141477279408948,698,32.98201378961534,415909.3818172404
30,80.0,35.0,10,0.7073230908463108,-0.5911606510301174,0.995901880024885,944,34.50101542413741,298531.46939920017
60,60.0,15.0,3,0.31109748564118966,-0.39451320022907177,0.7056512846829868,426,22.332723551404086,55830.74898715491
60,60.0,15.0,5,0.5468864779112759,-0.46439169537898717,0.8908434633510323,661,31.077323945110454,159546.04738011482
60,60.0,15.0,10,0.7259678012671047,-0.4682087700257764,1.063841840199592,925,32.89482612965527,319844.25487155584
60,60.0,25.0,3,0.3649292605544685,-0.4377849661886275,0.7602527261830039,427,24.045959524931888,72081.62510534801
60,60.0,25.0,5,0.6289351916160446,-0.537322168874683,0.9380371432387516,663,33.38760066530996,221510.01336710344
60,60.0,25.0,10,0.7331024021808681,-0.5779831259343994,1.0218164334752158,936,36.120862540350345,328331.9487275015
60,60.0,35.0,3,0.49994626523264296,-0.4197358533460787,0.7540816438536151,435,25.986652644203247,131195.2171998102
60,60.0,35.0,5,0.7113662818928741,-0.5990656963769073,0.9371640066858825,671,34.70810396264836,303048.5788043898
60,60.0,35.0,10,0.789883974622829,-0.5911606510301173,1.0465166856477637,944,36.42701008440536,402906.5888520131
60,70.0,15.0,3,0.3096666918960762,-0.3945132002290715,0.7052683865009712,426,22.106768096587036,55445.041025812956
60,70.0,15.0,5,0.5484815216132894,-0.46439169537898756,0.900285991362836,661,30.08466648452331,160593.43769368558
60,70.0,15.0,10,0.7355891186044528,-0.4682087700257764,1.0828387764939675,925,31.826900000254444,331334.51491114474
60,70.0,25.0,3,0.37859054367129064,-0.4377849661886278,0.7823442362269725,427,23.742398692184175,76786.57251404024
60,70.0,25.0,5,0.6415260072152935,-0.5373221688746826,0.9561862953077449,663,32.53246296996021,232607.8843178775
60,70.0,25.0,10,0.7408064647301895,-0.5779831259343994,1.0367225665865234,936,35.08891294139861,337709.40638142906
60,70.0,35.0,3,0.49929263905510735,-0.41973585334607866,0.7551978910578209,435,25.39092732958137,130832.66033792627
60,70.0,35.0,5,0.7392559363713442,-0.5990656963769073,0.9610918392649762,671,33.85888800670875,335804.1719018376
60,70.0,35.0,10,0.8035535632222228,-0.5911606510301173,1.0632842216622753,944,35.386139470760995,422846.52430293465
60,80.0,15.0,3,0.2702794041768113,-0.39451320022907144,0.6563658545619879,426,21.874465519641515,45673.49801045061
60,80.0,15.0,5,0.46613466539635473,-0.46626417197146647,0.8258954767769984,661,29.38647317297019,113514.27435428907
60,80.0,15.0,10,0.645844457645369,-0.4627343809526305,1.011988094874543,925,30.965180046369333,236520.54099827155
60,80.0,25.0,3,0.3383915725517972,-0.4415632816097111,0.7398240525813817,427,23.363665170707666,63633.573343514014
60,80.0,25.0,5,0.5521779540284903,-0.5424350326611119,0.8850765182788269,663,31.75139355494046,163043.0003114329
60,80.0,25.0,10,0.6487965674082921,-0.5779831259343994,0.9674368229033866,936,34.20295819654907,239227.0341810645
60,80.0,35.0,3,0.4555742544840913,-0.4236354664800381,0.7201094828248833,435,25.012193657853704,108422.03949874322
60,80.0,35.0,5,0.6446284781750087,-0.5990656963769073,0.8971048751752304,671,33.077770516341815,235413.25770315627
60,80.0,35.0,10,0.7073230908463108,-0.5911606510301174,0.995901880024885,944,34.50101542413741,298531.46939919994
90,60.0,15.0,3,0.4589158157387321,-0.369238711619305,0.8706593918776082,407,22.355803951687175,110012.08803823381
90,60.0,15.0,5,0.699594318459932,-0.42402389141026425,1.0370620028405269,642,30.207628648686853,290054.51076890714
90,60.0,15.0,10,0.7259678012671047,-0.4682087700257764,1.063841840199594,925,32.89482612965527,319844.2548715559
90,60.0,25.0,3,0.5423568479374272,-0.47934812409436217,0.93724000974551,411,24.278540572521095,156602.9763529643
90,60.0,25.0,5,0.7371179860817645,-0.5500431737969947,1.0185269164633721,645,33.20142696315429,333191.9917900241
90,60.0,25.0,10,0.7331024021808683,-0.5779831259343993,1.0218164334752162,936,36.12086254035034,328331.94872750173
90,60.0,35.0,3,0.7082783432676842,-0.46204391600551986,0.8921214394570954,418,26.136894414586383,299593.53905324475
90,60.0,35.0,5,0.8843600669548772,-0.5730323949983744,1.038814200082952,656,34.92168422361417,558517.0777363924
90,60.0,35.0,10,0.7898839746228288,-0.5911606510301174,1.0465166856477626,944,36.42701008440536,402906.5888520126
90,70.0,15.0,3,0.4695407637769251,-0.36923871161930466,0.8863106733284415,407,22.13420224948215,115199.0554859477
90,70.0,15.0,5,0.6881024196631669,-0.42402389141026375,1.0349012109515416,642,29.412387047524764,277825.5670945653
90,70.0,15.0,10,0.735589118604453,-0.4682087700257764,1.0828387764939689,925,31.826900000254454,331334.5149111449
90,70.0,25.0,3,0.5489157145509234,-0.47934812409436217,0.9473850518213395,411,23.990209938976168,160879.55277548562
90,70.0,25.0,5,0.7457287991866699,-0.5500431737969947,1.0321137898640067,645,32.433404058560434,343818.26014567626
90,70.0,25.0,10,0.7408064647301897,-0.5779831259343993,1.0367225665865234,936,35.08891294139861,337709.4063814293
90,70.0,35.0,3,0.7191874067042221,-0.46204391600552047,0.9011404164544232,418,25.697913167018704,311950.0146239578
90,70.0,35.0,5,0.8788016197079,-0.5730323949983744,1.040323303268581,656,33.86600342169236,548139.1308628815
90,70.0,35.0,10,0.8035535632222228,-0.5911606510301174,1.0632842216622749,944,35.386139470760995,422846.5243029344
90,80.0,15.0,3,0.42202410771219245,-0.3692387116193045,0.8423602743476728,407,21.765375238104443,93501.35410140199
90,80.0,15.0,5,0.6021072327782111,-0.4278094020116654,0.9669009025864326,642,28.707853692174005,199343.64712153524
90,80.0,15.0,10,0.6458444576453688,-0.4627343809526307,1.011988094874544,925,30.965180046369333,236520.54099827123
90,80.0,25.0,3,0.49670647596426787,-0.48393512950403444,0.9043199175471687,411,23.545454243107113,129406.4189795695
90,80.0,25.0,5,0.6544707573955875,-0.5566311128050853,0.966603009836665,645,31.644957481244667,244502.4468847311
90,80.0,25.0,10,0.6487965674082923,-0.5779831259343992,0.9674368229033866,936,34.20295819654906,239227.03418106472
90,80.0,35.0,3,0.6613009680966864,-0.4667833737869355,0.8643314077592291,418,25.2531218725969,250982.31485890097
90,80.0,35.0,5,0.780704868447619,-0.5730323949983744,0.9815532830324681,656,33.07751444033235,389966.50334540516
90,80.0,35.0,10,0.7073230908463108,-0.5911606510301174,0.9959018800248848,944,34.50101542413741,298531.46939919994
